channel,laser,autolevel,t_ms,tp,tp_err,tp_rms_err,pd_flux_ph_s,pd_flux_err_ph_s,laser_flux_ph_s,laser_flux_err_ph_s,pd_route_tx,laser_route_tx,atten_tx,pd_raw,pd_mv,pd_net_mv,pd_mean_net_mv,pd_mean_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_ontime_s,laser_current_ontime_s,flags
yj_m,,False,1789176900138,1.2894674042296584e-05,1.0444102529068454e-06,1.0444102529068454e-06,436894038.8506331,35386440.3328659,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1570.2487500000002,127.18304384699833,250.0,38.231174960409206,1028.01,374,4,()
yj_m,,False,1789176900244,4.676128466015441e-05,1.742529309124108e-06,1.742529309124108e-06,523301885.19055414,19500509.429790087,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,32767,2047.9375,2049.63625,1880.808750000001,70.08713288248778,250.0,43.04217381424828,1028.01,374,4,()
yj_m,,False,1789176900352,0.0001490077536784204,2.638907117708357e-06,2.6389071177083564e-06,554055605.165977,9812249.65805556,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,21762,1360.125,1361.82375,1991.341250000001,35.266383585328114,250.0,47.82738761665105,1028.01,374,4,()
yj_m,,False,1789176900460,0.0003841258673528454,2.525779058979119e-05,2.525779058979119e-05,471006719.1716855,30970549.214003347,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,8203,512.6875,514.38625,1692.8537500000007,111.31180987966864,250.0,52.645296980749606,1028.01,374,4,()
yj_m,,False,1789176900568,0.00030328625446969266,3.419583283368519e-05,3.419583283368519e-05,371882957.7192251,41930180.70699881,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2220,138.75,140.44875,1336.5912499999997,150.70201922564775,250.0,52.645296980749606,1028.01,374,5,()
yj_m,,False,1789176900674,0.00019901872556632116,3.459517308073337e-05,3.459517308073337e-05,244032399.14227715,42419842.96507996,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2093,130.8125,132.51125,877.0812499999998,152.46192318473328,250.0,52.645296980749606,1028.01,374,5,()
yj_m,,False,1789176900780,0.00011167586492279214,2.3628970084150855e-05,2.3628970084150855e-05,136934497.8260158,28973325.210922845,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2083,130.1875,131.88625,492.15874999999994,104.13355104474013,250.0,52.645296980749606,1028.01,374,5,()
yj_m,,False,1789176900886,1.6916796240996336e-05,2.553695508545689e-06,2.5536955085456896e-06,62901731.9394175,9495407.289008925,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,2116,132.25,133.94875,226.07624999999993,34.12761470843663,250.0,47.82738761665105,1028.01,375,5,()
yj_m,,False,1789176900994,4.809710648317824e-06,6.641553561304866e-07,6.641553561304865e-07,53825096.290190086,7432510.728659263,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,8887,555.4375,557.13625,193.45374999999993,26.71332095018326,250.0,43.04217381424828,1028.01,375,5,()
yj_m,,False,1789176901102,2.959895640832657e-06,6.015245503920532e-07,6.015245503920532e-07,100286424.98895197,20380700.545555573,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,21418,1338.625,1340.32375,360.4412499999997,73.250643657155,250.0,38.231174960409206,1028.01,375,5,()
yj_m,,False,1789176901209,5.8853322343647e-06,1.1529497305103456e-06,1.1529497305103456e-06,199405317.37485188,39063947.076300055,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,716.6862499999997,140.40043720440298,250.0,38.231174960409206,1028.01,375,5,()
yj_m,,False,1789176901316,9.677654577861543e-06,1.2953435529020438e-06,1.295343552902044e-06,327895810.41400313,43888498.04734646,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1178.4962499999997,157.74044292186923,250.0,38.231174960409206,1028.01,375,5,()
yj_m,,False,1789176901422,1.2807730899420142e-05,1.0571837546173e-06,1.0571837546173e-06,433948253.58168715,35819228.84184569,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1559.6612500000003,128.73853683799382,250.0,38.231174960409206,1028.01,375,5,()
yj_m,,False,1789176901528,4.651993360793368e-05,1.8383357095560001e-06,1.838335709556e-06,520600944.4114944,20572671.375803754,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,32767,2047.9375,2049.63625,1871.1012500000006,73.94060948279704,250.0,43.04217381424828,1028.01,375,6,()
yj_m,,False,1789176901636,0.00014767712770972387,2.762270941316244e-06,2.7622709413162446e-06,549107937.9598343,10270953.42519084,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,22916,1432.25,1433.94875,1973.5587500000008,36.91501907337312,250.0,47.82738761665105,1028.01,375,6,()
yj_m,,False,1789176901744,0.0003907391665843937,2.3460457462274708e-05,2.3460457462274708e-05,479115801.73729926,28766698.727484293,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,9075,567.1875,568.88625,1721.9987500000007,103.39091107146459,250.0,52.645296980749606,1028.01,375,6,()
yj_m,,False,1789176901852,0.00031117535658095895,3.320389481129945e-05,3.320389481129945e-05,381556401.8125507,40713888.045519724,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,1967,122.9375,124.63625,1371.3587499999996,146.33051981964493,250.0,52.645296980749606,1028.01,375,6,()
