channel,laser,autolevel,t_ms,tp,tp_err,tp_pd_err,pd_power_nw,pd_power_err_nw,delivered_power_nw,delivered_power_err_nw,laser_output_power_uw,laser_output_power_err_uw,pd_route_tx,laser_route_tx,atten_tx,pd_mv,pd_net_mv,pd_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_raw,pd_ontime_s,laser_current_ontime_s,flags
yj_m,,True,1789508550086,0.0034577570317440957,0.0011407494113819384,2.2796626081011453e-06,0.036904161866359454,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,674.8125,672.6890625,0.44349677799262954,250.0,14.99847110876026,1028.01,10797,1362,1361,()
yj_m,,True,1789508550136,0.0034561507189130166,0.0011402194744661235,2.2796626081011453e-06,0.036887017912003515,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,674.5,672.3765625,0.44349677799262954,250.0,14.99847110876026,1028.01,10792,1362,1361,()
yj_m,,True,1789508550186,0.003464503545634626,0.0011429751464390808,2.2796626081011453e-06,0.03697616647465438,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,676.125,674.0015625,0.44349677799262954,250.0,14.99847110876026,1028.01,10818,1363,1362,()
yj_m,,True,1789508550236,0.003472213847223803,0.0011455188436683497,2.2796626081011453e-06,0.03705845745556287,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,677.625,675.5015625,0.44349677799262954,250.0,14.99847110876026,1028.01,10842,1363,1362,()
yj_m,,True,1789508550286,0.0034776753108494702,0.001147320629219292,2.2796626081011453e-06,0.03711674690037305,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,678.6875,676.5640625,0.44349677799262954,250.0,14.99847110876026,1028.01,10859,1363,1362,()
yj_m,,True,1789508550336,0.003476711523150824,0.0011470026670624303,2.2796626081011453e-06,0.0371064605277595,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,678.5,676.3765625,0.44349677799262954,250.0,14.99847110876026,1028.01,10856,1363,1362,()
yj_m,,True,1789508550386,0.003477032785717039,0.001147108654448012,2.2796626081011453e-06,0.03710988931863068,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,678.5625,676.4390625,0.44349677799262954,250.0,14.99847110876026,1028.01,10857,1363,1362,()
yj_m,,True,1789508550436,0.003476390260584608,0.0011468966796768872,2.2796626081011453e-06,0.03710303173688831,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,678.4375,676.3140625,0.44349677799262954,250.0,14.99847110876026,1028.01,10855,1363,1362,()
yj_m,,True,1789508550486,0.0034796028862467653,0.0011479565535340594,2.2796626081011453e-06,0.03713731964560018,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,679.0625,676.9390625,0.44349677799262954,250.0,14.99847110876026,1028.01,10865,1363,1362,()
yj_m,,True,1789508550536,0.0034654673333332723,0.0011432931085915104,2.2796626081011453e-06,0.03698645284726794,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,676.3125,674.1890625,0.44349677799262954,250.0,14.99847110876026,1028.01,10821,1363,1362,()
yj_m,,True,1789508550586,0.0034561507189130166,0.0011402194744661235,2.2796626081011453e-06,0.036887017912003515,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,674.5,672.3765625,0.44349677799262954,250.0,14.99847110876026,1028.01,10792,1363,1362,()
yj_m,,True,1789508550636,0.003458399556876526,0.0011409613861485394,2.2796626081011453e-06,0.036911019448101816,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,674.9375,672.8140625,0.44349677799262954,250.0,14.99847110876026,1028.01,10799,1363,1362,()
yj_m,,True,1789508550686,0.003466431121031919,0.0011436110707442923,2.2796626081011453e-06,0.036996739219881496,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,676.5,674.3765625,0.44349677799262954,250.0,14.99847110876026,1028.01,10824,1363,1362,()
yj_m,,True,1789508550736,0.00347317763492245,0.0011458368058235844,2.2796626081011453e-06,0.03706874382817643,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,677.8125,675.6890625,0.44349677799262954,250.0,14.99847110876026,1028.01,10845,1363,1362,()
yj_m,,True,1789508550786,0.003469643746694077,0.0011446709445894336,2.2796626081011453e-06,0.03703102712859337,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,677.125,675.0015625,0.44349677799262954,250.0,14.99847110876026,1028.01,10834,1363,1362,()
yj_m,,True,1789508550836,0.003469965009260293,0.0011447769319741623,2.2796626081011453e-06,0.03703445591946456,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,677.1875,675.0640625,0.44349677799262954,250.0,14.99847110876026,1028.01,10835,1363,1362,()
yj_m,,True,1789508550886,0.003484743087306217,0.0011496523517135575,2.2796626081011453e-06,0.037192180299539176,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,680.0625,677.9390625,0.44349677799262954,250.0,14.99847110876026,1028.01,10881,1363,1362,()
yj_m,,True,1789508550936,0.003539357723562891,0.001167670207969647,2.2796626081011453e-06,0.03777507474764099,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,690.6875,688.5640625,0.44349677799262954,250.0,14.99847110876026,1028.01,11051,1363,1362,()
yj_m,,True,1789508550986,0.0035464255000196374,0.0011700019306224649,2.2796626081011453e-06,0.03785050814680711,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,692.0625,689.9390625,0.44349677799262954,250.0,14.99847110876026,1028.01,11073,1363,1362,()
yj_m,,True,1789508551036,0.0035640949411615028,0.0011758312373314622,2.2796626081011453e-06,0.038039091644722405,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,695.5,693.3765625,0.44349677799262954,250.0,14.99847110876026,1028.01,11128,1363,1362,()
yj_m,,True,1789508551086,0.0035779092315087794,0.0011803886953796968,2.2796626081011453e-06,0.03818652965218346,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,698.1875,696.0640625,0.44349677799262954,250.0,14.99847110876026,1028.01,11171,1363,1362,()
yj_m,,True,1789508551136,0.003569877667353386,0.001177739010459897,2.2796626081011453e-06,0.03810080988040378,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,696.625,694.5015625,0.44349677799262954,250.0,14.99847110876026,1028.01,11146,1363,1362,()
yj_m,,True,1789508551186,0.003482815511908922,0.0011490164273950906,2.2796626081011453e-06,0.03717160755431205,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,679.6875,677.5640625,0.44349677799262954,250.0,14.99847110876026,1028.01,10875,1364,1363,()
yj_m,,True,1789508551236,0.0034429789536981705,0.0011358739917937029,2.2796626081011453e-06,0.03674643748628483,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,671.9375,669.8140625,0.44349677799262954,250.0,14.99847110876026,1028.01,10751,1364,1363,()
yj_m,,True,1789508551286,0.003469643746694077,0.0011446709445894336,2.2796626081011453e-06,0.03703102712859337,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,677.125,675.0015625,0.44349677799262954,250.0,14.99847110876026,1028.01,10834,1364,1363,()
yj_m,,True,1789508551336,0.003501127478183219,0.0011550577084761364,2.2796626081011453e-06,0.03736704863396972,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,683.25,681.1265625,0.44349677799262954,250.0,14.99847110876026,1028.01,10932,1364,1363,()
yj_m,,True,1789508551386,0.0035489956005493625,0.0011708498297733235,2.2796626081011453e-06,0.0378779384737766,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,692.5625,690.4390625,0.44349677799262954,250.0,14.99847110876026,1028.01,11081,1364,1363,()
yj_m,,True,1789508551436,0.003601040136276312,0.0011880197880721527,2.2796626081011453e-06,0.03843340259490893,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,702.6875,700.5640625,0.44349677799262954,250.0,14.99847110876026,1028.01,11243,1364,1363,()
yj_m,,True,1789508551486,0.0036122843260938627,0.0011917293470852844,2.2796626081011453e-06,0.03855341027540048,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,704.875,702.7515625,0.44349677799262954,250.0,14.99847110876026,1028.01,11278,1364,1363,()
yj_m,,True,1789508551536,0.0036167820020208824,0.0011932131707023898,2.2796626081011453e-06,0.0386014133475971,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,705.75,703.6265625,0.44349677799262954,250.0,14.99847110876026,1028.01,11292,1364,1363,()
yj_m,,True,1789508551586,0.003569235142220954,0.0011775270356672756,2.2796626081011453e-06,0.038093952298661395,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,696.5,694.3765625,0.44349677799262954,250.0,14.99847110876026,1028.01,11144,1364,1363,()
yj_m,,True,1789508551636,0.0033874005297428495,0.0011175381754103546,2.2796626081011453e-06,0.036153256665569455,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,661.125,659.0015625,0.44349677799262954,250.0,14.99847110876026,1028.01,10578,1364,1363,()
yj_m,,True,1789508551686,0.003322184228801056,0.0010960227392902285,2.2796626081011453e-06,0.03545721211871846,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,648.4375,646.3140625,0.44349677799262954,250.0,14.99847110876026,1028.01,10375,1364,1363,()
yj_m,,True,1789508551736,0.0033665184629388264,0.0011106489961646457,2.2796626081011453e-06,0.035930385258942286,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,657.0625,654.9390625,0.44349677799262954,250.0,14.99847110876026,1028.01,10513,1364,1363,()
yj_m,,True,1789508551786,0.0033353559940159,0.0011003682213184265,2.2796626081011453e-06,0.035597792544437123,2.433052326051292e-05,10.672861490139162,3.521079138845817,43567.5,1377.7253195938588,0.98,7.744e-06,0.03163391105061622,651.0,648.8765625,0.44349677799262954,250.0,14.99847110876026,1028.01,10416,1364,1363,()
